   ,Water depth,Env. condition,Mooring config,Direction,Misalignment,"Max A1, single"  ,"Max A2, single"  ,"Max A3, single"  ,Max shared mooring,Dir shared mooring,Max shared mooring 2 anchors,"Max A1,T1 shared","Max A2,T2 shared","Max A3,T3 shared",Sequence runs T2,Sequence runs T3
0  ,120        ,DLC1.6        ,taut          ,0        ,-8          ,4168784.4740295135,9708958.210726995 ,9425235.377033062 ,4390864.405060749 ,164.59775504602058,9264764.331153989           ,4064474.840283867 ,8970939.588133192 ,7624343.099318607 ,564312          ,614235
1  ,120        ,DLC1.6        ,taut          ,0        ,0           ,4119149.3475742447,9543884.604759365 ,9581254.57812367  ,4706362.274165236 ,186.1832860791431 ,9278778.451372093           ,4106016.9555429043,8492329.687443813 ,9077669.55491869  ,312645          ,214563
2  ,120        ,DLC1.6        ,taut          ,0        ,8           ,4176781.532605265 ,9381285.894675137 ,9673147.433327049 ,4756455.578406127 ,178.19162155551695,9361528.362741979           ,4184438.393158177 ,9025184.793033287 ,8851865.305943485 ,462531          ,541362
3  ,120        ,DLC1.6        ,taut          ,30       ,-8          ,5164629.4456731025,11075296.617710976,6958265.035147618 ,4321825.27954433  ,150.4036795834274 ,9826057.75199051            ,4932771.766675439 ,9923061.883172764 ,7458366.156612098 ,462135          ,614523
4  ,120        ,DLC1.6        ,taut          ,30       ,0           ,5101590.43855148  ,10990380.220287032,7099236.797245664 ,4547877.581920153 ,141.06215694458558,9706690.891145905           ,5498394.870162916 ,10686065.81522173 ,7385658.956011308 ,634521          ,365124
5  ,120        ,DLC1.6        ,taut          ,30       ,8           ,5114791.176968704 ,10886171.609024668,7197806.396364718 ,4789571.553246592 ,140.96020073962407,9607047.260562796           ,5024498.625059647 ,10486327.302059546,7002873.070268152 ,452361          ,265341
6  ,120        ,DLC1.6        ,taut          ,60       ,-8          ,6554602.963572979 ,10335222.581021847,6319457.457998709 ,4809207.796202643 ,75.55223659226071 ,9405456.64167205            ,8246364.826900628 ,9735269.695328258 ,4357691.820697826 ,346512          ,234615
7  ,120        ,DLC1.6        ,taut          ,60       ,0           ,6362823.561963763 ,10290650.98504994 ,6533308.762032121 ,4038971.100781142 ,67.16649653143675 ,9335009.818538787           ,8172057.722646877 ,8753881.3867755   ,4455551.624068042 ,234165          ,612345
8  ,120        ,DLC1.6        ,taut          ,60       ,8           ,6093212.418307411 ,10309678.529409494,6775491.182093743 ,3951419.6969906436,133.73901770805708,9254191.63242388            ,5528651.097882167 ,9908831.952656087 ,6612292.528988849 ,254361          ,631524
9  ,120        ,SLC           ,taut          ,0        ,-8          ,10208130.230270663,6150767.070391128 ,6617210.530129775 ,3175275.3369192802,204.92778972821415,9329915.365701772           ,4664958.897261321 ,6771755.946591107 ,8317093.289602903 ,214635          ,235164
10 ,120        ,SLC           ,taut          ,0        ,0           ,10208659.879664566,6401655.388483133 ,6331118.734230184 ,3237214.774346957 ,190.92679120641301,9478443.565367132           ,4643212.937711089 ,7467458.803077688 ,8176016.413102309 ,516342          ,652143
11 ,120        ,SLC           ,taut          ,0        ,8           ,10245357.06696432 ,6708087.760444234 ,6013587.370781871 ,3057814.1797959567,173.0735360717822 ,9206331.724798324           ,4971682.658835319 ,8220082.789985825 ,7794277.483710377 ,436521          ,635124
12 ,120        ,SLC           ,taut          ,30       ,-8          ,5915428.303507067 ,10072929.296248784,7304575.247069435 ,3308575.9915232207,145.09300482632727,9505994.84151808            ,5962848.553104061 ,9769260.67906422  ,7583043.773197432 ,312564          ,361542
13 ,120        ,SLC           ,taut          ,30       ,0           ,6004894.378377481 ,10193232.270016486,7026791.78663075  ,2988851.4943980416,144.062176039436  ,9455652.267976237           ,6155356.373175483 ,9588068.070605077 ,7562518.0154230045,651324          ,354612
14 ,120        ,SLC           ,taut          ,30       ,8           ,6111459.9618539335,10315057.980208328,6831039.268582496 ,3045799.287474017 ,150.9630996044305 ,9298586.642403401           ,5848124.34585027  ,9364613.57028612  ,7657564.176567036 ,532614          ,356241
15 ,120        ,SLC           ,taut          ,60       ,-8          ,9734329.006535972 ,6331737.086323977 ,6732364.661537568 ,2984052.4884728696,119.71916662456555,8991120.786984129           ,6166967.5646113865,9142539.781278078 ,6150078.710864191 ,261534          ,261534
16 ,120        ,SLC           ,taut          ,60       ,0           ,9950449.38471227  ,6298174.914570825 ,6528046.956576163 ,3524266.25978484  ,66.35147764233075 ,9229495.847326266           ,8046797.769451671 ,8496992.466130387 ,4769260.93461266  ,651342          ,651324
17 ,120        ,SLC           ,taut          ,60       ,8           ,10323759.670720996,6296661.22577093  ,6197614.755924181 ,3504536.4243851206,56.7788310501519  ,9285592.09427662            ,8210970.238473494 ,7983585.131786378 ,4598278.176729754 ,562341          ,456321
18 ,125        ,DLC1.6        ,taut          ,0        ,-8          ,4376161.109101695 ,9747338.43966875  ,9445777.496701907 ,4548984.306682178 ,181.56413267003308,9422576.653981144           ,4569809.952170588 ,9045410.579866843 ,9188788.018406048 ,465213          ,631524
19 ,125        ,DLC1.6        ,taut          ,0        ,0           ,4408935.059337942 ,9623526.411126165 ,9545185.023517977 ,4118724.3551105163,183.44750285407605,9418074.067744121           ,4825242.508977449 ,8793517.88833617  ,9079508.652855396 ,562341          ,461523
20 ,125        ,DLC1.6        ,taut          ,0        ,8           ,4408982.833634161 ,9325712.164868148 ,9736349.702111935 ,4184371.8667734643,185.62350134215535,9470783.233460166           ,4983119.952964007 ,8910622.003521984 ,9384085.300290277 ,641523          ,632541
21 ,125        ,DLC1.6        ,taut          ,30       ,-8          ,5357286.670774265 ,10930661.325314352,7132005.494176917 ,4393095.752868174 ,151.01429926653898,9614604.435053758           ,5342603.886965522 ,10414519.06707654 ,7956327.781986263 ,432615          ,462135
22 ,125        ,DLC1.6        ,taut          ,30       ,0           ,5332070.348282421 ,10859645.177417578,7222872.568165596 ,4213643.42575072  ,160.80331819460082,9710754.289821204           ,4891080.250972144 ,9670342.458750825 ,8070509.101975316 ,361245          ,465213
23 ,125        ,DLC1.6        ,taut          ,30       ,8           ,5318533.162556301 ,10778000.796109634,7321377.3505789535,4245810.09726922  ,162.80446785011952,9592151.604506489           ,5181832.271195698 ,9962553.013675444 ,8513168.342914164 ,615243          ,236541
24 ,125        ,DLC1.6        ,taut          ,60       ,-8          ,6701119.533546103 ,10507301.688703364,6278177.6221417915,4194760.182792658 ,107.40792288452806,9501963.210583381           ,6124793.296454593 ,9690674.080988135 ,5068828.325026842 ,264135          ,245163
25 ,125        ,DLC1.6        ,taut          ,60       ,0           ,6483290.542693955 ,10506476.610890642,6481258.902625446 ,4187402.8281784323,110.5342317336612 ,9393754.202636577           ,5988334.130896236 ,9721127.310585586 ,5193145.900810269 ,361245          ,254163
26 ,125        ,DLC1.6        ,taut          ,60       ,8           ,6202628.666643914 ,10512792.640746672,6738653.561021087 ,3965415.6872296976,94.65417183798218 ,9463863.374002593           ,7581145.70713096  ,10184789.420248078,5621020.118698007 ,452613          ,532164
27 ,125        ,SLC           ,taut          ,0        ,-8          ,10125761.851653354,6310730.4544818625,6887051.075844239 ,3483863.7564170053,186.06297391175556,9438190.357152747           ,5297722.872415654 ,8549651.244646136 ,8974547.382806493 ,356241          ,412635
28 ,125        ,SLC           ,taut          ,0        ,0           ,10123848.927167477,6686487.168028464 ,6481331.161075228 ,2918384.28940379  ,202.84145227797637,9193025.870966649           ,5641375.342653489 ,7676847.17106316  ,8984967.591082731 ,234615          ,564132
29 ,125        ,SLC           ,taut          ,0        ,8           ,10156941.199218888,6987001.477926008 ,6172282.77543573  ,2911532.48291887  ,161.34495018434004,9330344.11831158            ,6047685.109930562 ,9343942.891855229 ,8268557.290174852 ,561324          ,256314
30 ,125        ,SLC           ,taut          ,30       ,-8          ,5969831.498508584 ,10012819.187713832,7499402.131776567 ,3362350.768376864 ,158.93238203118625,9183449.72555003            ,5823279.469065218 ,9658701.699236164 ,8263058.517313967 ,512634          ,615234
31 ,125        ,SLC           ,taut          ,30       ,0           ,6076379.274642825 ,10104819.796918187,7247174.339620326 ,2580291.2094852566,101.72306036842748,9277293.24025819            ,8120454.73471557  ,10103379.581964627,7186064.226943566 ,456132          ,432561
32 ,125        ,SLC           ,taut          ,30       ,8           ,6215065.984878368 ,10227161.794099614,7030328.123859057 ,3117103.293366721 ,137.38923053332127,9415288.101456398           ,6672843.3606730625,10185333.266574273,7748541.5207987875,364512          ,564321
33 ,125        ,SLC           ,taut          ,60       ,-8          ,6191550.940183993 ,7504983.8423581375,9640588.257319456 ,3082484.10302065  ,63.463890638503145,9032213.388681067           ,8370060.359138915 ,8585114.181530818 ,5400734.6356640095,356142          ,352614
34 ,125        ,SLC           ,taut          ,60       ,0           ,9781079.960409295 ,7047087.121221343 ,6499302.603765491 ,3437842.3401867733,62.20074706006972 ,9417418.949474074           ,8396345.540730497 ,8548784.518444758 ,5037258.387592483 ,264135          ,342165
35 ,125        ,SLC           ,taut          ,60       ,8           ,10086818.376868963,7053510.474349564 ,6152124.374547942 ,3205543.4165061507,82.53341726149195 ,9165678.947632682           ,7139320.467770407 ,8557795.529835118 ,4887738.016292628 ,352641          ,354162
36 ,130        ,DLC1.6        ,taut          ,0        ,-8          ,4928130.357024021 ,9798710.617483178 ,9489765.23373789  ,4514647.24233673  ,177.08924798675844,9648190.294617185           ,4819933.523002287 ,9461116.838429628 ,9196395.506682014 ,342615          ,352614
37 ,130        ,DLC1.6        ,taut          ,0        ,0           ,4874356.392737346 ,9683865.962106308 ,9650560.916248314 ,4162904.139869329 ,186.3022038157311 ,9352670.694988871           ,4584760.299145397 ,8458673.664225677 ,8986340.139012123 ,514263          ,641235
38 ,130        ,DLC1.6        ,taut          ,0        ,8           ,4878839.544104591 ,9541040.857334848 ,9796570.806723217 ,4261935.914867515 ,176.3922850686398 ,9242822.639944868           ,4786090.123424821 ,9194414.90638634  ,8884745.111455655 ,564123          ,615342
39 ,130        ,DLC1.6        ,taut          ,30       ,-8          ,5304605.7864031475,10762280.578527635,7630591.026682499 ,4792303.966247727 ,138.45210602207337,9533750.819637837           ,5310829.003731524 ,10732490.694962693,7062302.93750931  ,251643          ,514632
40 ,130        ,DLC1.6        ,taut          ,30       ,0           ,5542324.014349906 ,10614328.183649562,7478570.676070099 ,4086921.180134598 ,140.8880613119265 ,9569756.763638217           ,5662028.453225507 ,10321646.530707734,7344617.080025376 ,342615          ,432561
41 ,130        ,DLC1.6        ,taut          ,30       ,8           ,5491008.240444109 ,10532773.647996115,7615789.666797489 ,4599144.628393365 ,160.62727768585808,9679494.037622737           ,5166892.911020368 ,10386437.882547325,8624836.38811477  ,564123          ,631524
42 ,130        ,DLC1.6        ,taut          ,60       ,-8          ,6362371.912869764 ,10507695.502706252,7427174.206563319 ,4015163.770964774 ,126.46154745604986,9499700.27378028            ,6013284.7069733795,10263819.44161082 ,6535038.44482133  ,251634          ,364215
43 ,130        ,DLC1.6        ,taut          ,60       ,0           ,6120152.88617101  ,10568548.81494754 ,7600324.615144095 ,3992828.1513427864,99.68822080525085 ,9445599.822842365           ,7196557.929698039 ,10140880.905738875,5596114.935243699 ,362541          ,432165
44 ,130        ,DLC1.6        ,taut          ,60       ,8           ,5842310.5880167335,10586768.797773974,7859263.135763977 ,3969439.574242161 ,116.07857929940073,9501219.245417668           ,6250210.33453954  ,10053627.25640548 ,5936751.686108602 ,245361          ,235641
45 ,130        ,SLC           ,taut          ,0        ,-8          ,9846328.78664186  ,6644278.780662687 ,7045971.831460229 ,2958053.5730033037,205.95905192109598,9037795.86667465            ,5439528.575382535 ,7351568.072085667 ,8846703.084870784 ,465321          ,315264
46 ,130        ,SLC           ,taut          ,0        ,0           ,9840405.087708518 ,6923009.403754239 ,6744227.262383211 ,2681528.771905519 ,183.47251097168657,8994871.73638758            ,5481955.062981068 ,8064787.667596262 ,8252333.283986923 ,615342          ,542163
47 ,130        ,SLC           ,taut          ,0        ,8           ,9872714.37517973  ,7082778.787241088 ,6575681.4885180155,2791726.3685693033,169.04951127749882,9109508.021101333           ,5448695.373857606 ,8495768.511418466 ,7883409.799991586 ,364521          ,541362
48 ,130        ,SLC           ,taut          ,30       ,-8          ,6210323.530586146 ,9744960.152040478 ,7708308.145492071 ,2666697.5307076313,146.46799916779344,9135849.469864449           ,6668864.881981243 ,9742253.08695671  ,8041274.394746063 ,346512          ,456132
49 ,130        ,SLC           ,taut          ,30       ,0           ,6356298.787795258 ,9852294.863583839 ,7404003.263211414 ,2516083.0015991763,154.7489188584176 ,9408328.692412527           ,6301148.775064662 ,9196497.388293732 ,7957128.090838097 ,352614          ,452631
50 ,130        ,SLC           ,taut          ,30       ,8           ,6547019.2724314695,10018980.184099015,7101302.820925331 ,3017568.1877535004,105.86320960171552,9080746.932192933           ,7367216.646914361 ,9867889.489997167 ,6516197.728052086 ,612345          ,234561
51 ,130        ,SLC           ,taut          ,60       ,-8          ,6272688.60571903  ,7735191.250949465 ,9521911.317713594 ,2509046.08744419  ,177.46738511090982,9132451.765977345           ,5955852.1455630865,8526458.249150813 ,8398436.69468901  ,356214          ,462531
52 ,130        ,SLC           ,taut          ,60       ,0           ,9577629.04347113  ,7352674.005425169 ,6641940.51987461  ,2760505.365870856 ,39.790497137194606,9226372.169997448           ,9153286.285132624 ,8052132.438899551 ,6012152.466250936 ,231645          ,235641
53 ,130        ,SLC           ,taut          ,60       ,8           ,9875981.534442583 ,7364743.3399548   ,6298514.433551063 ,3089621.0202394025,13.014293028537296,9195770.322965505           ,9871401.707120776 ,7262840.748696668 ,6459441.14228275  ,652134          ,451263
54 ,135        ,DLC1.6        ,taut          ,0        ,-8          ,4965236.570790577 ,9895969.35728613  ,9554015.95383768  ,4214604.842969844 ,174.64434855285512,9358252.104959812           ,4901061.619161412 ,9324386.550697392 ,8870148.733363587 ,314265          ,256314
55 ,135        ,DLC1.6        ,taut          ,0        ,0           ,4912369.00671418  ,9730275.450331803 ,9758630.917121813 ,4158011.8256521127,174.46252075331688,9544549.481234865           ,4938141.4535008725,9308402.217021149 ,8845095.864129579 ,246531          ,345162
56 ,135        ,DLC1.6        ,taut          ,0        ,8           ,4929664.121249238 ,9554369.16151798  ,9932395.199809521 ,3906090.0886144754,181.2469899179678 ,9429397.128722597           ,4881509.487287245 ,8737596.4135997   ,8835752.59334983  ,254163          ,641325
57 ,135        ,DLC1.6        ,taut          ,30       ,-8          ,5381028.838365132 ,10738400.16199631 ,8338652.807896472 ,4641949.591957828 ,145.97270750422888,9768679.26969472            ,5174713.174354914 ,10521539.31529552 ,7522114.468668155 ,412365          ,531264
58 ,135        ,DLC1.6        ,taut          ,30       ,0           ,5237324.997728691 ,10639485.177653326,8578442.940645413 ,4192444.718784841 ,146.6662239100188 ,9648054.06380005            ,5477438.752823121 ,10310264.514873471,7650050.310402909 ,645312          ,562143
59 ,135        ,DLC1.6        ,taut          ,30       ,8           ,5165328.757468403 ,10514835.626802385,8778250.893196024 ,4055823.8667329988,163.5027870959349 ,9770991.469019966           ,5322520.487308349 ,9876330.400686081 ,8546430.561500821 ,362145          ,352614
60 ,135        ,DLC1.6        ,taut          ,60       ,-8          ,6480824.504300702 ,10743065.464437535,7260914.721657403 ,3743775.8590894653,95.34031282619927 ,9669233.402638348           ,7671381.640427314 ,10171907.2117672  ,5867731.103259236 ,465213          ,461325
61 ,135        ,DLC1.6        ,taut          ,60       ,0           ,6232412.070699645 ,10799843.341997646,7440996.686457562 ,3607404.1313584624,154.52015481199962,9685890.238070162           ,6036013.046958687 ,10188528.559756935,8396569.508806014 ,241563          ,215643
